epoch,train_loss,val_loss,val_roc_auc_score
1,1.3516355697065592,0.48199090361595154,0.8407158551730727
2,1.282464298652485,0.4871302843093872,0.8449511193198103
3,1.2669219768140465,0.4379650056362152,0.8471908204099398
4,1.2421631249599159,0.49104422330856323,0.8518135210011782
5,1.2310272096656263,0.47842153906822205,0.8502266237832904
6,1.219754439080134,0.4592796266078949,0.8589412901102867
7,1.2082988983020186,0.4365761876106262,0.8571739430415354
8,1.211652025114745,0.44275370240211487,0.8580337335074144
9,1.195745293982327,0.43102338910102844,0.8594136441316648
10,1.196192325791344,0.4377818703651428,0.8586653079854366
11,1.2184489129576832,0.42908474802970886,0.8595834792854187
12,1.1633729096502066,0.4499371647834778,0.8600558333067966
13,1.1663756950292736,0.41730228066444397,0.8572482459213026
14,1.1607669270597398,0.3859100341796875,0.8625237503847827
15,1.142472943291068,0.41407325863838196,0.8618921759067604
16,1.1516072526574135,0.4013025760650635,0.8627785031154137
17,1.1464314984623343,0.4056513011455536,0.8583840185120318
18,1.1225826058071107,0.4136301577091217,0.8575348427432623
19,1.1306284540332854,0.39121347665786743,0.8587396108652039
20,1.13665732415393,0.4072585105895996,0.858851065184855
21,1.1221441652160138,0.42291685938835144,0.8572270165270834
22,1.1111288107931614,0.40205299854278564,0.8592172722351369
23,1.1075585370417684,0.3887421488761902,0.8555445870352089
24,1.1168040144257247,0.3787963092327118,0.8544088144444798
25,1.1040367824025452,0.3869619369506836,0.8573968516808373
26,1.1033520149067044,0.3825622797012329,0.8538090840577864
